acid,bp488001,
PI407969,2,8
PI407970,1,8
PI407973B,1,9
PI407975B,2,9
PI407978,2,8
PI407980,2,8
PI407982,1,8
PI407983,1,8
PI407984,1,8
PI407986B,3,9
PI407987,1,8
PI407989,1,8
PI407990,1,8
PI407993,1,8
PI407994,1,8
PI407995,1,8
PI407997,2,8
PI407998B,3,9
PI407998D,3,9
PI407999-1,1,10
PI407999-2,1,10
PI408000,1,8
PI408001,1,8
PI408002,1,8
PI408003-1,1,10
PI408003-2,1,10
PI408004-2,1,10
PI408007,3,8
PI408009,1,8
PI408010-2,1,10
PI408011,1,8
PI408012,1,8
PI408022,1,8
PI408023,2,8
